ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10545,0,0,0,0,0,0,0,0,0,9
10546,0,0,0,0,0,0,0,0,0,0
10547,21,21,21,21,21,21,21,21,21,21
10548,0,19,0,0,0,0,0,0,0,15
10549,20,18,21,15,18,16,12,25,17,7
10550,0,0,45,0,0,0,0,0,0,0
10551,0,5,5,25,0,10,0,0,0,0
10552,14,14,14,14,14,14,14,14,14,14
10553,30,30,30,30,30,30,30,30,30,30
10555,0,13,7,10,19,34,25,13,12,10
10556,0,0,0,0,0,0,0,0,0,0
10557,0,0,0,0,0,0,0,0,0,0
10558,0,0,0,0,0,0,0,0,0,0
10559,0,0,0,0,0,0,0,0,0,0
10560,0,15,0,0,0,0,0,0,7,0
10561,26,26,26,26,26,26,26,26,26,26
10562,0,0,0,0,13,0,0,0,0,0
10563,0,0,0,0,15,0,0,0,0,4
10564,13,13,13,13,13,13,13,13,13,13
10565,0,8,13,21,0,0,7,0,0,21
10566,0,0,28,19,0,0,0,4,0,13
10567,24,24,24,24,24,24,24,24,24,24
10568,0,0,0,0,0,0,0,0,0,0
10569,3,0,0,0,0,0,0,26,0,0
10570,1,1,1,1,1,1,1,1,1,1
10571,0,0,0,0,0,0,0,0,0,0
10572,0,0,0,0,0,0,0,0,0,24
10573,0,0,0,0,0,0,0,0,0,0
10574,0,0,0,0,0,0,0,0,0,0
10575,0,0,0,0,0,0,0,0,0,7
10576,0,0,0,0,0,0,0,0,0,0
10577,26,26,26,26,26,26,26,26,26,26
10578,23,23,23,23,23,23,23,23,23,23
10579,14,10,5,21,0,10,15,7,19,25
10580,0,0,0,0,0,0,0,0,0,0
10581,18,0,0,0,0,0,0,0,0,0
10582,0,0,0,0,0,0,0,0,0,0
10583,0,10,17,0,0,0,0,0,0,0
10584,23,23,23,23,23,23,23,23,23,23
10585,0,0,0,0,0,0,0,0,0,0
10586,0,0,0,0,0,0,0,0,0,0
10587,0,0,0,0,0,0,0,0,0,0
10588,0,0,0,0,0,0,0,0,0,0
10589,0,0,0,0,0,0,0,0,0,0
10590,0,0,0,0,0,0,0,0,0,0
10591,0,37,10,34,5,17,14,3,38,0
10592,0,0,0,0,0,0,0,0,0,0
10593,16,16,16,16,16,16,16,16,16,16
10594,0,0,0,0,0,0,0,0,0,0
10595,0,31,7,0,0,20,0,0,0,0
10596,0,0,0,0,0,0,0,0,0,0
10597,13,13,13,13,13,30,13,13,25,24
10598,20,21,0,15,0,0,40,0,23,0
10599,0,0,20,0,15,0,0,0,15,0
10600,0,0,0,0,9,0,0,0,0,11
10601,0,0,0,0,0,0,0,0,0,0
10602,12,0,34,23,0,13,15,0,3,0
10603,26,26,26,26,26,26,26,26,26,26
10604,0,0,14,0,0,31,0,17,0,14
10605,0,0,0,3,0,0,0,0,0,0
